"profile","Park","shoreline_profile","WCEHA","mean_reach_change_rate","reach_delineation","zone_name","zone_description"
"1","Haynisisoos Park, North Beach","Non Significant Accretion","Accreted",1.73675760145059,"A","North Beach Accretion Zone"," Relatively stable and steady accretion"
"2","Santiago, North Beach","Significant Accretion","Accreted",1.73675760145059,"A","North Beach Accretion Zone"," Relatively stable and steady accretion"
"3","L443, North Beach","Significant Accretion","Accreted",1.73675760145059,"A","North Beach Accretion Zone"," Relatively stable and steady accretion"
"4","B1, North Beach","Significant Accretion","Accreted",1.73675760145059,"A","North Beach Accretion Zone"," Relatively stable and steady accretion"
"5","A1.5, North Beach","Significant Accretion","Accreted",1.73675760145059,"A","North Beach Accretion Zone"," Relatively stable and steady accretion"
"6","Moclips, North Beach","Significant Accretion","Accreted",1.73675760145059,"A","North Beach Accretion Zone"," Relatively stable and steady accretion"
"7","Pacific Beach, North Beach","Non Significant Accretion","Accreted",1.73675760145059,"A","North Beach Accretion Zone"," Relatively stable and steady accretion"
"8","Roosevelt Beach Rd OBA, North Beach","Significant Accretion","Accreted",1.73675760145059,"A","North Beach Accretion Zone"," Relatively stable and steady accretion"
"9","Griffiths-Priday State Park, North Beach","Significant Accretion","Accreted",1.73675760145059,"A","North Beach Accretion Zone"," Relatively stable and steady accretion"
"10","Ocean City OBA, North Beach","Significant Accretion","Accreted",1.73675760145059,"A","North Beach Accretion Zone"," Relatively stable and steady accretion"
"48","Quinault Beach, North Beach","Significant Accretion","Accreted",1.73675760145059,"A","North Beach Accretion Zone"," Relatively stable and steady accretion"
"11","Ocean Shores SR 115 OBA, North Beach","Significant Accretion","Accreted",1.73675760145059,"A","North Beach Accretion Zone"," Relatively stable and steady accretion"
"12","Ocean Shores Pacific Blvd OBA, North Beach","Significant Accretion","Accreted",1.73675760145059,"A","North Beach Accretion Zone"," Relatively stable and steady accretion"
"13","Ocean Shores Butter Clam St OBA, North Beach","Significant Accretion","Accreted",1.56419193942838,"B1","North Beach Transition Zone"," Marks a transition between steady accretion decreased rates of accertion"
"14","Ocean Shores North Jetty North, North Beach","Non Significant Accretion","Erosion",0.9470229852305,"B2","North Jetty Dynamic Zone"," An area of shifting erosion and accretion, influenced by the shoreline armor at the entrance to North Bay, and defies broad characterization due to many environmental and manmade factors"
"15","Ocean Shores North Jetty South, North Beach","Significant Accretion","Erosion",0.9470229852305,"B2","North Jetty Dynamic Zone"," An area of shifting erosion and accretion, influenced by the shoreline armor at the entrance to North Bay, and defies broad characterization due to many environmental and manmade factors"
"16","Westport Light North, Grayland Plains","Non Significant Accretion","Erosion",0.519798518834094,"B3","Westport North Dynamic Zone"," Highly built environment, frequently nourished by the Army Corps of Engineers and influenced by sediment input and the Westport Jetty"
"17","Westport Light South, Grayland Plains","Non Significant Accretion","Erosion",0.909413401070545,"B4","Westport South Dynamic Zone"," Another dynamic environment, marked by shoreline development influencing wave action and sediment transport"
"18","Westport Ocean Ave OBA, Grayland Plains","Non Significant Accretion","Accreted",0.909413401070545,"B4","Westport South Dynamic Zone"," Another dynamic environment, marked by shoreline development influencing wave action and sediment transport"
"19","Bonge Ave OBA, Grayland Plains","Significant Accretion","Accreted",0.909413401070545,"B4","Westport South Dynamic Zone"," Another dynamic environment, marked by shoreline development influencing wave action and sediment transport"
"20","Marine Drive OBA, Grayland Plains","Significant Accretion","Accreted",1.0939100921425,"C","South Beach Transition Zone"," Breakpoint between Westport and the highly dynamic zone at the entrance to Willapa Bay"
"21","Cranberry Beach Road OBA, Grayland Plains","Significant Accretion","Accreted",2.7036695338196,"D1","Washaway Beach Dynamic Zone"," Highly dynamic, highly volatile and uncertain area of rapid erosion at the south end of the entrance to Willapa Bay accompanied by rapid accretion to the north"
"22","Midway Beach Rd OBA, Grayland Plains","Significant Accretion","Accreted",2.7036695338196,"D1","Washaway Beach Dynamic Zone"," Highly dynamic, highly volatile and uncertain area of rapid erosion at the south end of the entrance to Willapa Bay accompanied by rapid accretion to the north"
"23","Warrenton Cannery Rd OBA, Grayland Plains","Non Significant Erosion","Accreted",2.7036695338196,"D1","Washaway Beach Dynamic Zone"," Highly dynamic, highly volatile and uncertain area of rapid erosion at the south end of the entrance to Willapa Bay accompanied by rapid accretion to the north"
"24","North Cove, Grayland Plains","Non Significant Erosion","Erosion",2.7036695338196,"D1","Washaway Beach Dynamic Zone"," Highly dynamic, highly volatile and uncertain area of rapid erosion at the south end of the entrance to Willapa Bay accompanied by rapid accretion to the north"
"25","Leadbetter Point North, Long Beach","Significant Accretion","Accreted",2.91703617584329,"D2","Leadbetter Accretion Zone"," Strong rates of accretion and buildout of beaches"
"26","Leadbetter Point South, Long Beach","Significant Accretion","Erosion",2.91703617584329,"D2","Leadbetter Accretion Zone"," Strong rates of accretion and buildout of beaches"
"27","Leadbetter Point Bearberry Trail, Long Beach","Non Significant Accretion","Accreted",0.76733575732758,"E","Long Beach North Accretion Zone"," Characterized by moderate, stable accretion"
"28","Leadbetter Point Hines, Long Beach","Significant Accretion","Accreted",0.76733575732758,"E","Long Beach North Accretion Zone"," Characterized by moderate, stable accretion"
"29","Leadbetter Point 357th Pl, Long Beach","Significant Accretion","Accreted",0.76733575732758,"E","Long Beach North Accretion Zone"," Characterized by moderate, stable accretion"
"30","Oysterville Rd OBA, Long Beach","Significant Accretion","Accreted",0.76733575732758,"E","Long Beach North Accretion Zone"," Characterized by moderate, stable accretion"
"31","Oysterville Beach 311th St, Long Beach","Significant Accretion","Accreted",0.76733575732758,"E","Long Beach North Accretion Zone"," Characterized by moderate, stable accretion"
"32","Oysterville Beach 295th St, Long Beach","Significant Accretion","Accreted",1.24860158456341,"F","Long Beach Mid Accretion Zone"," Small zone of increased accretion"
"33","Pacific Pines, Long Beach","Significant Accretion","Accreted",1.24860158456341,"F","Long Beach Mid Accretion Zone"," Small zone of increased accretion"
"34","Klipsan Beach, Long Beach","Significant Accretion","Accreted",0.740120463692738,"G","Long Beach OBA Influence Zone"," Another small subreach of decreased rates of accretion, potentially influenced by the presence of a heavily used OBA near a suburb of Klipsan beach"
"35","Loomis Lake State Park, Long Beach","Significant Accretion","Accreted",1.39710675614042,"H","Long Beach South Accretion Zone"," Steady, relatively high levels of accertion present through this area"
"36","Oceanside 156th Pl, Long Beach","Significant Accretion","Accreted",1.39710675614042,"H","Long Beach South Accretion Zone"," Steady, relatively high levels of accertion present through this area"
"37","Oceanside 115th Ln, Long Beach","Significant Accretion","Accreted",0.876559122204188,"I","Long Beach South Mid Zone"," Small subreach of decreased accertion rates as erosion begins"
"49","Chautauqua Resort, Long Beach","Significant Accretion","Accreted",0.876559122204188,"I","Long Beach South Mid Zone"," Small subreach of decreased accertion rates as erosion begins"
"38","Long Beach 11th St, Long Beach","Significant Accretion","Accreted",0.0558422233322136,"J","Long Beach South Transition Zone"," Area of fluctuation but overall erosion, potentially stabilized by the North Head Lighthouse outcropping"
"50","Seaview, Long Beach","Non Significant Accretion","Accreted",0.0558422233322136,"J","Long Beach South Transition Zone"," Area of fluctuation but overall erosion, potentially stabilized by the North Head Lighthouse outcropping"
"39","Holman, Long Beach","Non Significant Accretion","Accreted",0.0558422233322136,"J","Long Beach South Transition Zone"," Area of fluctuation but overall erosion, potentially stabilized by the North Head Lighthouse outcropping"
"40","Oceanview South, Long Beach","Significant Accretion","Accreted",0.0558422233322136,"J","Long Beach South Transition Zone"," Area of fluctuation but overall erosion, potentially stabilized by the North Head Lighthouse outcropping"
"51","Beard's Hollow Cape Disappointment, Long Beach","Non Significant Accretion","Erosion",0.0558422233322136,"J","Long Beach South Transition Zone"," Area of fluctuation but overall erosion, potentially stabilized by the North Head Lighthouse outcropping"
"52","A Loop Cape Disappointment, Long Beach","Non Significant Erosion","Erosion",-0.776330537341596,"M","Long Beach South Erosion Zone"," Highly unstable area of strong erosion"
"41","Cape Disappointment CANBY, Long Beach","Significant Erosion","Erosion",-0.776330537341596,"M","Long Beach South Erosion Zone"," Highly unstable area of strong erosion"
"53","Benson Beach North Cape Disappointment, Long Beach","Significant Erosion","Erosion",-0.776330537341596,"M","Long Beach South Erosion Zone"," Highly unstable area of strong erosion"
"54","Benson Beach South Cape Disappointment, Long Beach","Non Significant Erosion","Erosion",-0.776330537341596,"M","Long Beach South Erosion Zone"," Highly unstable area of strong erosion"
"42","Clatsop Spit","Non Significant Erosion","Oregon",0.813310245211205,"Oregon","Oregon","Oregon"
"43","Peter Iredale Rd OBA","Non Significant Erosion","Oregon",0.813310245211205,"Oregon","Oregon","Oregon"
"44","Delaura Beach Rd OBA","Non Significant Accretion","Oregon",0.813310245211205,"Oregon","Oregon","Oregon"
"45","Slusher Lake Rd OBA","Significant Accretion","Oregon",0.813310245211205,"Oregon","Oregon","Oregon"
"46","Del Rey Beach Rd OBA","Significant Accretion","Oregon",0.813310245211205,"Oregon","Oregon","Oregon"
"47","Seaside Beach","Non Significant Erosion","Oregon",0.813310245211205,"Oregon","Oregon","Oregon"
